Metric,Value,Notes
Revenue,2800000,Q2 2024 Total Revenue - 12% growth
Cost of Goods Sold,1120000,Direct costs
Gross Profit,1680000,Revenue minus COGS
Operating Expenses,850000,Salaries increased
Marketing Expenses,180000,Increased spend
R&D Expenses,220000,Product development
Administrative Expenses,110000,Office and legal
EBITDA,320000,Improved margins
Depreciation,55000,Asset depreciation
Interest Expense,22000,Loan interest reduced
Income Tax,60750,25% tax rate
Net Income,182250,Bottom line - 39% growth
