Metric,Amount,Notes
Revenue,850000,Early stage revenue
Monthly Recurring Revenue,70833,MRR from SaaS
Annual Recurring Revenue,850000,ARR
Customer Count,142,Paying customers
Average Revenue Per User,5986,ARPU
Cost of Goods Sold,180000,Direct costs
Gross Profit,670000,78.8% gross margin
Gross Margin Percent,78.8,High margin SaaS
Operating Expenses,2400000,High burn for growth
Salaries and Wages,1500000,45 employees
Marketing,500000,Customer acquisition
Research and Development,300000,Product development
General and Administrative,100000,Admin costs
Operating Loss,-1730000,Pre-funding loss
Cash and Cash Equivalents,8500000,Series A funding
Monthly Burn Rate,200000,Cash consumption
Runway Months,42,Months of runway
Total Assets,9200000,Mostly cash
Total Liabilities,400000,Minimal debt
Total Equity,8800000,Investor equity

